	id	name	readonly	readwrite	requirement
73	CU_c	cupric ion	-	x	x
74	cyclobutane_dCdC_c	cyclobutane 2'-deoxycytidine dimer	-	x	x
75	cyclobutane_dCdT_c	cyclobutane 2'-deoxycytidine 2'-deoxythymidine 	-	x	x
76	cyclobutane_dCMPdCMP_c	cyclobutane 2'-deoxycytidine monophosphate dimer	-	x	x
77	cyclobutane_dCMPdTMP_c	cyclobutane 2'-deoxycytidine monophosphate 2'-deoxythymidine  monophosphate	-	x	x
78	cyclobutane_dTdC_c	cyclobutane 2'-deoxythymidine 2'-deoxycytidine	-	x	x
79	cyclobutane_dTdT_c	cyclobutane 2'-deoxythymidine dimer	-	x	x
80	cyclobutane_dTMPdCMP_c	cyclobutane 2'-deoxythymidine monophosphate 2'-deoxycytidine monophosphate	-	x	x
81	cyclobutane_dTMPdTMP_c	cyclobutane 2'-deoxythymidine monophosphate dimer	-	x	x
82	cyclodA_c	8,5'-cyclo-2'-deoxyadenosine	-	x	x
83	cyclodAMP_c	8,5'-cyclo-2'-deoxyadenosine monophosphate	-	x	x
84	cyclodG_c	8,5'-cyclo-2'-deoxyguanosine	-	x	x
85	cyclodGMP_c	8,5'-cyclo-2'-deoxyguanosine monophosphate	-	x	x
86	CYS_c	L-Cysteine	-	x	x
87	CysCys_c	L-cysteinyl-L-cysteine	-	x	x
88	CYTD_c	cytidine	-	x	x
89	c_di_AMP_c	Cyclic-di-adenylate	-	x	x
90	DA_c	deoxyadenosine	-	x	x
91	DADP_c	dADP	-	x	x
92	DAG160_c	Diacylglycerol (n-16:0)	-	x	x
93	DAG161_c	Diacylglycerol (n-16:1)	-	x	x
94	DAG181_c	Diacylglycerol (n-18:1)	-	x	x
95	DALA_c	D-alanine	-	x	x
96	DAMP_c	dAMP	-	x	x
97	dApdAp_c	dAp-dAp	-	x	x
98	DATP_c	dATP	-	x	x
99	DC_c	deoxycytidine	-	x	x
100	dC64dC_c	2'-deoxycytidine-[6,4]-2'-deoxycytidine	-	x	x
101	dC64dC_dewar_c	2'-deoxycytidine-[6,4]-2'-deoxycytidine dewar product	-	x	x
102	dC64dT_c	2'-deoxycytidine-[6,4]-2'-deoxythymidine	-	x	x
103	dC64dT_dewar_c	2'-deoxycytidine-[6,4]-2'-deoxythymidine dewar product	-	x	x
104	DCDP_c	dCDP	-	x	x
105	DCMP_c	dCMP	-	x	x
106	dCMP64dCMP_c	2'-deoxycytidine monophosphate-[6,4]-2'-deoxycytidine monophosphate	-	x	x
107	dCMP64dCMP_dewar_c	2'-deoxycytidine monophosphate-[6,4]-2'-deoxycytidine monophosphate dewar product	-	x	x
108	dCMP64dTMP_c	2'-deoxycytidine monophosphate-[6,4]-2'-deoxythymidine monophosphate	-	x	x
109	dCMP64dTMP_dewar_c	2'-deoxycytidine monophosphate-[6,4]-2'-deoxythymidine monophosphate dewar product	-	x	x
110	dCMP_GLYC_c	2-'deoxycytidine monophosphate glycol	-	x	x
111	dCpdCp_c	dCp-dCp	-	x	x
112	DCTP_c	dCTP	-	x	x
113	dC_GLYC_c	2-'deoxycytidine glycol	-	x	x
114	DDCA_c	Dodecanoate (n-C12:0)	-	x	x
115	DDECG3P_c	1-dodecanoyl-sn-glycerol 3-phosphate	-	x	x
116	deoxyG6P_c	2-deoxy-glucose-6-phosphate	-	x	x
117	deoxyGLC_c	2-deoxy-glucose	-	x	x
118	DG_c	deoxyguanosine	-	x	x
119	DGDP_c	dGDP	-	x	x
120	DGMP_c	dGMP	-	x	x
121	dGpdGp_c	dGp-dGp	-	x	x
122	DGTP_c	dGTP	-	x	x
123	DHA_c	Dihydroxyacetone	-	x	x
124	DHdT_c	5,6-dihydro-2'-deoxythymidine	-	x	x
125	DHdTMP_c	5,6-dihydro-2'-deoxythymidine monophosphate	-	x	x
126	DHdU_c	5,6-dihydroxy-2'-deoxyuridine	-	x	x
127	DHdUMP_c	5,6-dihydroxy-2'-deoxyuridine monophosphate	-	x	x
128	DHF_c	dihydrofolate	-	x	x
129	dhpdU_c	5'-dihydroxypentyl-2'-deoxyuridine	-	x	x
130	dhpdUMP_c	5'-dihydroxypentyl-2'-deoxyuridine monophosphate	-	x	x
131	diacylglycerolCys_c	S-diacylglycerol cysteine 	-	x	x
132	DIBUTYRIN_c	dibutyrin	-	x	x
133	dINS_c	2'-deoxyinosine	-	x	x
134	dINSMP_c	2'-deoxyinosine monophosphate	-	x	x
135	DMBA_c	dimethylbenzyl alcohol	-	x	x
136	doxorubicin_c	Doxorubicin	-	x	x
137	DPCOA_c	dephospho-CoA	-	x	x
138	DPG_c	3-Phospho-D-glyceroyl phosphate	-	x	x
139	DR1P_c	2-Deoxy-D-ribose 1-phosphate	-	x	x
140	DR5P_c	2-Deoxy-D-ribose 5-phosphate	-	x	x
141	DT_c	thymidine	-	x	x
142	dT64dC_c	2'-deoxythymidine-[6,4]-2'-deoxycytidine	-	x	x
143	dT64dC_dewar_c	2'-deoxythymidine-[6,4]-2'-deoxycytidine dewar product	-	x	x
144	dT64dT_c	2'-deoxythymidine-[6,4]-2'-deoxythymidine	-	x	x
145	dT64dT_dewar_c	2'-deoxythymidine-[6,4]-2'-deoxythymidine dewar product	-	x	x
146	DTDP_c	dTDP	-	x	x
147	DTMP_c	dTMP	-	x	x
148	dTMP64dCMP_c	2'-deoxythymidine monophosphate-[6,4]-2'-deoxycytidine monophosphate	-	x	x
149	dTMP64dCMP_dewar_c	2'-deoxythymidine monophosphate-[6,4]-2'-deoxycytidine monophosphate dewar product	-	x	x
150	dTMP64dTMP_c	2'-deoxythymidine monophosphate-[6,4]-2'-deoxythymidine monophosphate	-	x	x
151	dTMP64dTMP_dewar_c	2'-deoxythymidine monophosphate-[6,4]-2'-deoxythymidine monophosphate dewar product	-	x	x
152	dTMP_GLYC_c	2'-deoxythymidine monophosphate glycol	-	x	x
153	dTpdTp_c	dTp-dTp	-	x	x
154	DTTP_c	dTTP	-	x	x
155	dT_GLYC_c	2'-deoxythymidine glycol	-	x	x
156	DU_c	deoxyuridine	-	x	x
157	DUDP_c	dUDP	-	x	x
158	DUMP_c	dUMP	-	x	x
159	DUTP_c	dUTP	-	x	x
160	dXAN_c	2'-deoxyxanthosine	-	x	x
161	dXANMP_c	2'-deoxyxanthosine monophosphate	-	x	x
162	e1dA_c	1-ethyl-2'-deoxyadenosine	-	x	x
163	e1dAMP_c	1-ethyl-2'-deoxyadenosine monophosphate	-	x	x
164	e1dG_c	1-ethyl-2'-deoxyguanosine	-	x	x
165	e1dGMP_c	1-ethyl-2'-deoxyguanosine monophosphate	-	x	x
166	e3dA_c	3-ethyl-2'-deoxyadenosine	-	x	x
167	e3dAMP_c	3-ethyl-2'-deoxyadenosine monophosphate	-	x	x
168	e3dC_c	3-ethyl-2'-deoxycytidine	-	x	x
169	e3dCMP_c	3-ethyl-2'-deoxycytidine monophosphate	-	x	x
170	e3dG_c	3-ethyl-2'-deoxyguanosine	-	x	x
171	e3dGMP_c	3-ethyl-2'-deoxyguanosine monophosphate	-	x	x
172	e3dT_c	3'-ethyl-2'-deoxythymidine	-	x	x
173	e3dTMP_c	3'-ethyl-2'-deoxythymidine monophosphate	-	x	x
174	e4dC_c	4-ethyl-2'-deoxycytidine	-	x	x
175	e4dCMP_c	4-ethyl-2'-deoxycytidine monophosphate	-	x	x
176	E4P_c	D-Erythrose 4-phosphate	-	x	x
177	e5dC_c	5-ethyl-2'-deoxycytidine	-	x	x
178	e5dCMP_c	5-ethyl-2'-deoxycytidine monophosphate	-	x	x
179	e6dA_c	6-ethyl-2'-deoxyadenosine	-	x	x
180	e6dAMP_c	6-ethyl-2'-deoxyadenosine monophosphate	-	x	x
181	e7dA_c	7-ethyl-2'-deoxyadenosine	-	x	x
182	e7dAMP_c	7-ethyl-2'-deoxyadenosine monophosphate	-	x	x
183	e7dG_c	7-ethyl-2'-deoxyguanosine	-	x	x
184	e7dGMP_c	7-ethyl-2'-deoxyguanosine monophosphate	-	x	x
185	e8dG_c	8-ethyl-2'-deoxyguanosine	-	x	x
186	e8dGMP_c	8-ethyl-2'-deoxyguanosine monophosphate	-	x	x
187	enoxacin_c	Enoxacin	-	x	x
188	epsilon1N2dG_c	1,N2-etheno-2'-deoxyguanosine	-	x	x
189	epsilon1N2dGMP_c	1,N2-etheno-2'-deoxyguanosine monophosphate	-	x	x
190	epsilon1N6dA_c	1,N6-etheno-2'-deoxyadenosine	-	x	x
191	epsilon1N6dAMP_c	1,N6-etheno-2'-deoxyadenosine monophosphate	-	x	x
192	epsilon3N4dC_c	3,N4-etheno-2'-deoxycytidine	-	x	x
193	epsilon3N4dCMP_c	3,N4-etheno-2'-deoxycytidine monophosphate	-	x	x
194	epsilonN23dG_c	N2,3-etheno-2'-deoxyguanosine	-	x	x
195	epsilonN23dGMP_c	N2,3-etheno-2'-deoxyguanosine monophosphate	-	x	x
196	ethidium_c	Ethidium	-	x	x
197	ETN_c	ethanolamine	-	x	x
198	F1P_c	D-Fructose 1-phosphate	-	x	x
199	f5dU_c	5-formyl-2'-deoxyuridine	-	x	x
200	f5dUMP_c	5-formyl-2'-deoxyuridine monophosphate	-	x	x
201	F6P_c	D-Fructose 6-phosphate	-	x	x
202	FAD_c	flavin adenine dinucleotide, oxidized	-	x	x
203	FADH2_c	flavin adenine dinucleotide, reduced	-	x	x
204	FALD_c	formaldehyde	-	x	x
205	FAPydA_c	N4-(2-Deoxy-alpha,beta-D-erythro-pentofuranosyl)-4,6-diamino-5-formamidopyrimidine	-	x	x
206	FAPydAMP_c	N4-(2-Deoxy-alpha,beta-D-erythro-pentofuranosyl)-4,6-diamino-5-formamidopyrimidine monophosphate	-	x	x
207	FAPydG_c	N6-(2-Deoxy-α,β-d-erythro-pentofuranosyl)-2,6-diamino-4-hydroxy-5-formamidopyrimidine	-	x	x
208	FAPydGMP_c	N6-(2-Deoxy-α,β-d-erythro-pentofuranosyl)-2,6-diamino-4-hydroxy-5-formamidopyrimidine monophosphate	-	x	x
209	FDP_c	D-Fructose 1,6-bisphosphate	-	x	x
210	FE2_c	ferrous iron	-	x	x
211	FE3_c	ferric iron	-	x	x
212	FMET_c	N-Formyl-L-methionine	-	x	x
213	FMN_c	flavin mononucleotide, oxidized	-	x	x
214	FMNH2_c	flavin mononucleotide, reduced	-	x	x
215	FOR_c	Formate	-	x	x
216	FRU_c	D-Fructose	-	x	x
217	FTHF10_c	10-formyl-tetrahydrofolate	-	x	x
218	FTHF5_c	5-formyltetrahydrofolate	-	x	x
219	FUC1P_c	L-fucose 1-phosphate	-	x	x
220	G1P_c	D-Glucose 1-phosphate	-	x	x
221	G23CMP_c	2',3'-Cyclic GMP	-	x	x
222	G2P_c	D-Glycerate 2-phosphate	-	x	x
223	G3MP_c	3'-GMP	-	x	x
224	G3P_c	3-Phospho-D-glycerate	-	x	x
225	G6P_c	D-Glucose 6-phosphate	-	x	x
226	GalCer16_c	galactosyl-β-Ceramide (d18:1/16:0)	-	x	x
227	GalDAG160_c	galactosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
228	GalDAG161_c	galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
229	GalDAG181_c	galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
230	GalGalCer16_c	galactosyl-α1-4-galactosyl-β-Ceramide (d18:1/16:0)	-	x	x
231	GalGalDAG160_c	galactosyl-α1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
232	GalGalDAG161_c	galactosyl-α1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
233	GalGalDAG181_c	galactosyl-α1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
234	GalGalGalDAG160_c	galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
235	GalGalGalDAG161_c	galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
236	GalGalGalDAG181_c	galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
237	GalGalGlcCer16_c	galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-Ceramide (d18:1/16:0)	-	x	x
238	GalGalGlcDAG160_c	galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
239	GalGalGlcDAG161_c	galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
240	GalGalGlcDAG181_c	galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
241	GalGlcCer16_c	galactosyl-β1-4-glucosyl-β-Ceramide (d18:1/16:0)	-	x	x
242	GalGlcDAG160_c	galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
243	GalGlcDAG161_c	galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
244	GalGlcDAG181_c	galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
245	GDP_c	GDP	-	x	x
246	GDPTP_c	Guanosine 3'-diphosphate 5'-triphosphate	-	x	x
247	GL_c	glycerol	-	x	x
248	GL2P_c	Glycerol 2-phosphate	-	x	x
249	GL3P_c	Glycerol 3-phosphate	-	x	x
250	GLC_c	D-Glucose	-	x	x
251	GlcCer16_c	glucosyl-β-Ceramide (d18:1/16:0)	-	x	x
252	GlcDAG160_c	glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
253	GlcDAG161_c	glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
254	GlcDAG181_c	glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
255	GlcGalCer16_c	glucosyl-β1-4-galactosyl-β-Ceramide (d18:1/16:0)	-	x	x
256	GlcGalDAG160_c	glucosyl-β1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
257	GlcGalDAG161_c	glucosyl-β1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
258	GlcGalDAG181_c	glucosyl-β1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
259	GlcGalGalDAG160_c	glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
260	GlcGalGalDAG161_c	glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
261	GlcGalGalDAG181_c	glucosyl-β1-4-galactosyl-α1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
262	GlcGalGlcDAG160_c	glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
263	GlcGalGlcDAG161_c	glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
264	GlcGalGlcDAG181_c	glucosyl-β1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
265	GlcGlcDAG160_c	glucosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
266	GlcGlcDAG161_c	glucosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
267	GlcGlcDAG181_c	glucosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
268	GlcGlcGlcDAG160_c	glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))	-	x	x
269	GlcGlcGlcDAG161_c	glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))	-	x	x
270	GlcGlcGlcDAG181_c	glucosyl-β1-4-glucosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))	-	x	x
271	glchm5dC_c	beta-D-glucosylhydroxymethyl-2'-deoxycytidine	-	x	x
272	glchm5dCMP_c	beta-D-glucosylhydroxymethyl-2'-deoxycytidine monophosphate	-	x	x
273	glchm5dU_c	beta-D-glucosylhydroxymethyl-2'-deoxyuridine	-	x	x
274	glchm5dUMP_c	beta-D-glucosylhydroxymethyl-2'-deoxyuridine monophosphate	-	x	x
275	GLN_c	L-glutamine	-	x	x
276	GlnGln_c	L-glutaminyl-L-glutamine	-	x	x
277	GLU_c	L-Glutamate	-	x	x
278	gludT_c	a-glutamyl-2'-deoxythymidine	-	x	x
279	gludTMP_c	a-glutamyl-2'-deoxythymidine monophosphate	-	x	x
280	GluGlu_c	L-glutamyl-L-glutamic acid	-	x	x
281	GLY_c	glycine	-	x	x
282	GlyGly_c	L-glycyl-L-glycine	-	x	x
283	Gm_c	2'-O-methylguanosine	-	x	x
284	GmMP_c	2'-O-methylguanosine monophosphate	-	x	x
285	GMP_c	GMP	-	x	x
286	GMP_Lysine_c	GMP-lysine	-	x	x
287	GMP_Mor_c	GMP-morpholidate	-	x	x
288	GN_c	guanine	-	x	x
289	GPCH_c	sn-Glycero-3-phosphocholine	-	x	x
290	GPE_c	sn-Glycero-3-phosphoethanolamine	-	x	x
291	GPG_c	Glycerophosphoglycerol	-	x	x
292	GPI_c	sn-Glycero-3-phospho-1-inositol	-	x	x
293	GPS_c	Glycerophosphoserine	-	x	x
294	GSN_c	guanosine	-	x	x
295	GTP_c	GTP	-	x	x
296	H_c	hydrogen ion	-	x	x
297	H2O_c	water	-	x	x
298	H2O2_c	hydrogen peroxide	-	x	x
299	HCYS_c	L-homocysteine	-	x	x
300	HDCA_c	Hexadecanoate (n-C16:0)	-	x	x
301	HDCEA_c	Hexadecenoate (n-C16:1)	-	x	x
302	HDECEG3P_c	1-hexadecanoyl-sn-glycerol 3-phosphate	-	x	x
303	HDECG3P_c	1-hexadec-9-enoyl-sn-glycerol 3-phosphate	-	x	x
304	HIS_c	L-Histidine	-	x	x
305	HisHis_c	L-histidyl-L-histidine	-	x	x
306	hm3dC_c	3'-hydroxymethyl-2'-deoxycytidine	-	x	x
307	hm3dCMP_c	3'-hydroxymethyl-2'-deoxycytidine monophosphate	-	x	x
308	hm5dC_c	5'-hydroxymethyl-2'-deoxycytidine	-	x	x
309	hm5dCMP_c	5'-hydroxymethyl-2'-deoxycytidine monophosphate	-	x	x
310	hm5dU_c	5-hydroxymethyl-2'-deoxyuridine	-	x	x
311	hm5dUMP_c	5-hydroxymethyl-2'-deoxyuridine monophosphate	-	x	x
312	hm5hydantoin_dRibose_c	2'-deoxy-3'-(5-hydroxy-5-methyl-hydantoin)-ribose	-	x	x
313	hm5hydantoin_dRiboseMP_c	2'-deoxy-3'-(5-hydroxy-5-methyl-hydantoin)-ribose monophosphate	-	x	x
314	ho5dC_c	5-Hydroxy-2'-deoxycytidine	-	x	x
315	ho5dCMP_c	5-Hydroxy-2'-deoxycytidine monophosphate	-	x	x
316	ho5dU_c	5-hydroxy-2'-deoxyuridine	-	x	x
317	ho5dUMP_c	5-hydroxy-2'-deoxyuridine monophosphate	-	x	x
318	ho5ho6dT_c	5-hydroxy-6-hydroxy-2'-deoxythymidine	-	x	x
319	ho5ho6dTMP_c	5-hydroxy-6-hydroxy-2'-deoxythymidine monophosphate	-	x	x
320	ho5ho6dU_c	5-hydroxy-6-hydroxy-2'-deoxyuridine	-	x	x
321	ho5ho6dUMP_c	5-hydroxy-6-hydroxy-2'-deoxyuridine monophosphate	-	x	x
322	ho5hydantoin_dRibose_c	2'-deoxy-3'-(5-hydroxyhydantoin)-ribose	-	x	x
323	ho5hydantoin_dRiboseMP_c	2'-deoxy-3'-(5-hydroxyhydantoin)-ribose monophosphate	-	x	x
324	HPHPYR_c	3-(4-Hydroxyphenyl)pyruvate	-	x	x
325	hydride_c	hydride	-	x	x
326	hydroxyl_radical_c	hydroxyl radical	-	x	x
327	HYXN_c	hypoxanthine	-	x	x
328	IDP_c	IDP	-	x	x
329	ILE_c	L-Isoleucine	-	x	x
330	IleIle_c	L-isoleucyl-L-isoleucine	-	x	x
331	IMP_c	IMP	-	x	x
332	INOS_c	myo-inositol	-	x	x
333	INS_c	inosine	-	x	x
334	ITP_c	ITP	-	x	x
335	K_c	potassium ion	-	x	x
336	k2C_c	lysidine	-	x	x
337	k2CMP_c	lysidine monophosphate	-	x	x
338	LAC_c	D-lactate	-	x	x
339	LEU_c	L-Leucine	-	x	x
340	LeuLeu_c	L-leucyl-L-leucine	-	x	x
341	LIPOATE_c	lipoate	-	x	x
342	LIPOYLAMP_c	lipoyl-AMP	-	x	x
343	LIPOYLLYS_c	N(6)-(lipoyl)lysine	-	x	x
344	lomefloxacin_c	Lomefloxacin	-	x	x
345	LYS_c	L-Lysine	-	x	x
346	LysLys_c	L-lysyl-L-lysine	-	x	x
347	m1dA_c	1-methyl-2'-deoxyadenosine	-	x	x
348	m1dAMP_c	1-methyl-2'-deoxyadenosine monophosphate	-	x	x
349	m1dG_c	1-methyl-2'-deoxyguanosine	-	x	x
350	m1dGMP_c	1-methyl-2'-deoxyguanosine monophosphate	-	x	x
351	m1G_c	1-methylguanosine	-	x	x
352	m1GMP_c	1-methylguanosine monophosphate	-	x	x
353	m2G_c	N(2)-methylguanosine	-	x	x
354	m2GMP_c	N(2)-methylguanosine monophosphate	-	x	x
355	m3dA_c	3-methyl-2'-deoxyadenosine	-	x	x
356	m3dAMP_c	3-methyl-2'-deoxyadenosine monophosphate	-	x	x
357	m3dC_c	3-methyl-2'-deoxycytidine	-	x	x
358	m3dCMP_c	3-methyl-2'-deoxycytidine monophosphate	-	x	x
359	m3dG_c	3-methyl-2'-deoxyguanosine	-	x	x
360	m3dGMP_c	3-methyl-2'-deoxyguanosine monophosphate	-	x	x
361	m3dT_c	3'-methyl-2'-deoxythymidine	-	x	x
362	m3dTMP_c	3'-methyl-2'-deoxythymidine monophosphate	-	x	x
363	m4dC_c	4-methyl-2'-deoxycytidine	-	x	x
364	m4dCMP_c	4-methyl-2'-deoxycytidine monophosphate	-	x	x
365	m5C_c	5-methylcytidine	-	x	x
366	m5CMP_c	5-methylcytidine monophosphate	-	x	x
367	m5dC_c	5-methyl-2'-deoxycytidine	-	x	x
368	m5dCMP_c	5-methyl-2'-deoxycytidine monophosphate	-	x	x
369	m62A_c	N6,N6-dimethyladenosine	-	x	x
370	m62AMP_c	N6,N6-dimethyladenosine monophosphate	-	x	x
371	m6A_c	N(6)-methyladenine	-	x	x
372	m6AMP_c	N(6)-methyladenine monophosphate	-	x	x
373	m6dA_c	6-methyl-2'-deoxyadenosine	-	x	x
374	m6dAMP_c	6-methyl-2'-deoxyadenosine monophosphate	-	x	x
375	m7dA_c	7-methyl-2'-deoxyadenosine	-	x	x
376	m7dAMP_c	7-methyl-2'-deoxyadenosine monophosphate	-	x	x
377	m7dG_c	7-methyl-2'-deoxyguanosine	-	x	x
378	m7dGMP_c	7-methyl-2'-deoxyguanosine monophosphate	-	x	x
379	m7G_c	7-methylguanosine	-	x	x
380	m7GMP_c	7-methylguanosine monophosphate	-	x	x
381	m8dG_c	8-methyl-2'-deoxyguanosine	-	x	x
382	m8dGMP_c	8-methyl-2'-deoxyguanosine monophosphate	-	x	x
383	MAL_c	L-Malate	-	x	x
384	MAN_c	D-Mannose	-	x	x
